accuracy,f1,auc,log_loss,brier,mrr,top3_accuracy,top3_recall,top3_precision,season,race,phase,model
0.9,0.6666666666666666,0.9803921568627451,0.18801165822250893,0.05220787604802799,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Monaco Grand Prix,early,xgboost
1.0,1.0,1.0,0.010050335853501452,0.00010000000000000011,0.611111111111111,1.0,1.0,1.0,2025,Monaco Grand Prix,early,qualifying_baseline
0.9,0.6666666666666666,0.9215686274509803,0.18208587134144558,0.05444908343026518,0.5476190476190476,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Spanish Grand Prix,mid,logistic
0.9,0.6666666666666666,0.9019607843137254,0.2795784856748157,0.07737853114752107,0.5416666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Spanish Grand Prix,mid,random_forest
0.9,0.6666666666666666,0.9019607843137254,0.25915393090392985,0.06638533091206283,0.5416666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Spanish Grand Prix,mid,xgboost
0.9,0.6666666666666666,0.8039215686274509,0.46956232086696026,0.09809999999999999,0.5476190476190476,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Spanish Grand Prix,mid,qualifying_baseline
0.8,0.3333333333333333,0.8823529411764706,0.295559057969654,0.10771459900515319,0.3055555555555555,0.3333333333333333,0.3333333333333333,0.3333333333333333,2025,Canadian Grand Prix,mid,logistic
0.9,0.6666666666666666,0.9411764705882353,0.23477060399271266,0.07779601943406018,0.3611111111111111,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Canadian Grand Prix,mid,random_forest
0.8,0.3333333333333333,0.8627450980392156,0.30524131408120203,0.10559395124964403,0.28888888888888886,0.3333333333333333,0.3333333333333333,0.3333333333333333,2025,Canadian Grand Prix,mid,xgboost
0.9,0.6666666666666666,0.8039215686274509,0.46956232086696026,0.09809999999999999,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Canadian Grand Prix,mid,qualifying_baseline
1.0,1.0,1.0,0.1118569089744117,0.025417369689721532,0.611111111111111,1.0,1.0,1.0,2025,Austrian Grand Prix,mid,logistic
1.0,1.0,1.0,0.10873810289806937,0.025108983135459072,0.611111111111111,1.0,1.0,1.0,2025,Austrian Grand Prix,mid,random_forest
0.9,0.6666666666666666,0.9803921568627451,0.14463768736622995,0.03655916571795735,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Austrian Grand Prix,mid,xgboost
1.0,1.0,1.0,0.010050335853501452,0.00010000000000000011,0.611111111111111,1.0,1.0,1.0,2025,Austrian Grand Prix,mid,qualifying_baseline
0.9,0.6666666666666666,0.784313725490196,0.3457172303313594,0.08149270695429896,0.5166666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,British Grand Prix,mid,logistic
0.9,0.6666666666666666,0.7843137254901961,0.34532459149489003,0.09526254177968059,0.5238095238095238,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,British Grand Prix,mid,random_forest
0.9,0.6666666666666666,0.7058823529411764,0.2680799251409903,0.06827190146439358,0.5185185185185185,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,British Grand Prix,mid,xgboost
